variable,adj_OR,CI95,p
HighBP,2.134,2.07-2.20,<0.001
HighChol,1.778,1.73-1.83,<0.001
GenHlth,1.579,1.56-1.60,<0.001
HeartDiseaseorAttack,1.379,1.33-1.43,<0.001
Stroke,1.195,1.14-1.26,<0.001
Age,1.137,1.13-1.14,<0.001
BMI,1.062,1.06-1.06,<0.001
DiffWalk,1.041,1.01-1.08,0.018
Income,0.967,0.96-0.97,<0.001
Smoker,0.964,0.94-0.99,0.006
Education,0.962,0.95-0.98,<0.001
Fruits,0.962,0.94-0.99,0.005
Veggies,0.957,0.93-0.99,0.009
PhysActivity,0.858,0.83-0.88,<0.001
HvyAlcoholConsump,0.485,0.45-0.52,<0.001
